ISBN	Response Group	Log time	Log date
9783319237381	ItemAttributes	11:47:14	27:09:17
9783319263281	ItemAttributes	11:47:15	27:09:17
9783319123516	ItemAttributes	11:47:16	27:09:17
9783319390123	ItemAttributes	11:47:17	27:09:17
9783319203300	ItemAttributes	11:47:18	27:09:17
9783319153971	ItemAttributes	11:47:26	27:09:17
9783319192277	ItemAttributes	11:47:27	27:09:17
9783319213316	ItemAttributes	11:47:28	27:09:17
9783319290928	ItemAttributes	11:47:29	27:09:17
9783319680361	ItemAttributes	11:47:30	27:09:17
9783319391120	ItemAttributes	11:47:32	27:09:17
9783319311791	ItemAttributes	11:47:33	27:09:17
9783319139418	ItemAttributes	11:47:34	27:09:17
9783319395609	ItemAttributes	11:47:35	27:09:17
9783319229539	ItemAttributes	11:47:36	27:09:17
9783319011035	ItemAttributes	11:47:37	27:09:17
9783319238883	ItemAttributes	11:47:41	27:09:17
9783319680835	ItemAttributes	11:47:42	27:09:17
9783319302126	ItemAttributes	11:47:43	27:09:17
9783319276212	ItemAttributes	11:47:44	27:09:17
9783319023953	ItemAttributes	11:47:45	27:09:17
9783319209456	ItemAttributes	11:47:46	27:09:17
9783319312460	ItemAttributes	11:47:52	27:09:17
9783319326825	ItemAttributes	11:47:53	27:09:17
9783319263854	ItemAttributes	11:47:54	27:09:17
9783319246857	ItemAttributes	11:47:55	27:09:17
9783319311180	ItemAttributes	11:47:56	27:09:17
9783319230269	ItemAttributes	11:47:57	27:09:17
9783319015736	ItemAttributes	11:48:03	27:09:17
9783319272146	ItemAttributes	11:48:04	27:09:17
9783319301884	ItemAttributes	11:48:05	27:09:17
9783319285351	ItemAttributes	11:48:06	27:09:17
9783319273198	ItemAttributes	11:48:07	27:09:17
9783319238913	ItemAttributes	11:48:08	27:09:17
9783319312224	ItemAttributes	11:48:12	27:09:17
9783319258874	ItemAttributes	11:48:13	27:09:17
9783319205373	ItemAttributes	11:48:14	27:09:17
9783319196794	ItemAttributes	11:48:15	27:09:17
9783319329055	ItemAttributes	11:48:16	27:09:17
9783319250724	ItemAttributes	11:48:17	27:09:17
9783319211084	ItemAttributes	11:48:21	27:09:17
9783319207612	ItemAttributes	11:48:22	27:09:17
9783319340029	ItemAttributes	11:48:23	27:09:17
9783319296968	ItemAttributes	11:48:24	27:09:17
9783319454559	ItemAttributes	11:48:25	27:09:17
9783319297149	ItemAttributes	11:48:26	27:09:17
9783319195742	ItemAttributes	11:48:29	27:09:17
9783319232997	ItemAttributes	11:48:31	27:09:17
9783319206356	ItemAttributes	11:48:32	27:09:17
9783319224060	ItemAttributes	11:48:33	27:09:17
9783319470351	ItemAttributes	11:48:34	27:09:17
9783319148595	ItemAttributes	11:48:35	27:09:17
9783319294902	ItemAttributes	11:48:37	27:09:17
9783319394589	ItemAttributes	11:48:38	27:09:17
9783319215860	ItemAttributes	11:48:39	27:09:17
9783319304830	ItemAttributes	11:48:40	27:09:17
9783319212111	ItemAttributes	11:48:41	27:09:17
9783319202846	ItemAttributes	11:48:43	27:09:17
9783319314402	ItemAttributes	11:48:44	27:09:17
9783319286075	ItemAttributes	11:48:45	27:09:17
9783319284965	ItemAttributes	11:48:46	27:09:17
9783319403397	ItemAttributes	11:48:47	27:09:17
9783319249551	ItemAttributes	11:48:48	27:09:17
9783319683744	ItemAttributes	11:48:49	27:09:17
9783319042640	ItemAttributes	11:48:53	27:09:17
9783319217437	ItemAttributes	11:48:54	27:09:17
9783319230597	ItemAttributes	11:48:55	27:09:17
9783319323565	ItemAttributes	11:48:56	27:09:17
9783319390031	ItemAttributes	11:48:57	27:09:17
9783319261591	ItemAttributes	11:48:58	27:09:17
9783319158730	ItemAttributes	11:49:04	27:09:17
9783319239668	ItemAttributes	11:49:05	27:09:17
9783319221977	ItemAttributes	11:49:06	27:09:17
9783319293448	ItemAttributes	11:49:08	27:09:17
9783319187952	ItemAttributes	11:49:09	27:09:17
9783319429809	ItemAttributes	11:49:10	27:09:17
9783319282572	ItemAttributes	11:49:11	27:09:17
9783319226613	ItemAttributes	11:49:12	27:09:17
9783319388328	ItemAttributes	11:49:13	27:09:17
9783319249407	ItemAttributes	11:49:21	27:09:17
9783319296630	ItemAttributes	11:49:22	27:09:17
9783319312521	ItemAttributes	11:49:23	27:09:17
9783319235516	ItemAttributes	11:49:24	27:09:17
9783319317342	ItemAttributes	11:49:25	27:09:17
9783319225982	ItemAttributes	11:49:28	27:09:17
9783319151168	ItemAttributes	11:49:32	27:09:17
9783319269429	ItemAttributes	11:49:33	27:09:17
9783319257198	ItemAttributes	11:49:34	27:09:17
9783319262895	ItemAttributes	11:49:35	27:09:17
9783319094823	ItemAttributes	11:49:39	27:09:17
9783319228938	ItemAttributes	11:49:40	27:09:17
9783319237534	ItemAttributes	11:49:41	27:09:17
9783319391946	ItemAttributes	11:49:42	27:09:17
9783319235813	ItemAttributes	11:49:43	27:09:17
9783319256658	ItemAttributes	11:49:44	27:09:17
9783319284415	ItemAttributes	11:49:47	27:09:17
9783319177212	ItemAttributes	11:49:51	27:09:17
9783319185057	ItemAttributes	11:49:52	27:09:17
9783319214184	ItemAttributes	11:49:53	27:09:17
9783319291833	ItemAttributes	11:49:54	27:09:17
9783319229263	ItemAttributes	11:49:55	27:09:17
9783319327075	ItemAttributes	11:49:56	27:09:17
9783319392158	ItemAttributes	11:50:00	27:09:17
9783319178721	ItemAttributes	11:50:01	27:09:17
9783319338699	ItemAttributes	11:50:02	27:09:17
9783319234908	ItemAttributes	11:50:03	27:09:17
9783319455150	ItemAttributes	11:50:04	27:09:17
9783319275994	ItemAttributes	11:50:14	27:09:17
9783319146652	ItemAttributes	11:50:15	27:09:17
9783319247427	ItemAttributes	11:50:16	27:09:17
9783319290713	ItemAttributes	11:50:17	27:09:17
9783319310732	ItemAttributes	11:50:20	27:09:17
9783319290140	ItemAttributes	11:50:26	27:09:17
